libbrotli1	1.1.0-2+b7	amd64	libbrotli1_1.1.0-2+b7_amd64.deb	0fb79f88db210afbd69282ab9649e525f393ec6950ca34da1a6b359250b8d7db
libbsd0	0.12.2-2	amd64	libbsd0_0.12.2-2_amd64.deb	e5a85986fa6bec3307ab1bc860736b478b331882bc45e17675a7bdf88eecb43a
libbz2-1.0	1.0.8-6	amd64	libbz2-1.0_1.0.8-6_amd64.deb	cba4cda04244b5e481bb15524bc3c983a7d1b6f330013b9b381706a2fcb65310
libc-bin	2.41-12+deb13u4	amd64	libc-bin_2.41-12+deb13u4_amd64.deb	dc8c79647fe3a5f37f72a400414f70263d0212f010ff2c09f990e30d91e38d1c
libc6	2.41-12+deb13u4	amd64	libc6_2.41-12+deb13u4_amd64.deb	967aa62605721081c3eb2a17650611a792aa802d76a6511d1840242623d204c9
libcairo-gobject2	1.18.4-1+b1	amd64	libcairo-gobject2_1.18.4-1+b1_amd64.deb	4fcd432ebe8f93599bd05426f304e2f70409aad271fc6b4b3a2c6243c99c377c
libcairo2	1.18.4-1+b1	amd64	libcairo2_1.18.4-1+b1_amd64.deb	01390b049661e4cc8bd39cef78b41c2587d4035619d3b00d6c7846f43d80bbba
libcanberra0	0.30-18	amd64	libcanberra0_0.30-18_amd64.deb	79402128c4eaa36e6ec0f3b97d3073382f3a315d4b305317b33e047489ccf823
libcap-ng0	0.8.5-4+b1	amd64	libcap-ng0_0.8.5-4+b1_amd64.deb	20a9e4b0619a3eb2566338223bed135dde5a601eaa2f8fdd5f20b94506addcac
libcap2	1:2.75-10+deb13u1+b3	amd64	libcap2_1%3a2.75-10+deb13u1+b3_amd64.deb	89fc4d34fc7a28ad6f0fcd0c561ab253b9dedf6f77f5a000b47c276c8295bf67
libchromaprint1	1.5.1-7	amd64	libchromaprint1_1.5.1-7_amd64.deb	ed8decea8352ae56e80862c4630c83f4f863d4eea653382ed8ae43ffacda60b5
libcjson1	1.7.18-3.1+deb13u1	amd64	libcjson1_1.7.18-3.1+deb13u1_amd64.deb	e10b7fb966251f4f09690cb35f9e8fed6924194ec2d6973910d9e157cda82657
libcodec2-1.2	1.2.0-3	amd64	libcodec2-1.2_1.2.0-3_amd64.deb	d68a3b754be7aa2d724d01d2079c542fc7cfa53eaa4ac89fbc6e63d950c02bd6
libcom-err2	1.47.2-3+b12	amd64	libcom-err2_1.47.2-3+b12_amd64.deb	bd43e020b8fed399db3eebf098111f10fba4c436fff99ccad72cc7e27c9764ec
libcrack2	2.9.6-5.2+b1	amd64	libcrack2_2.9.6-5.2+b1_amd64.deb	62cfdabce5cbf25350507185180cc278ee774d2f8bc269d7fe6025b5421858d6
libcrypt1	1:4.4.38-1	amd64	libcrypt1_1%3a4.4.38-1_amd64.deb	0ebc144d662e3197982d1bf3a7b8b35ca845e54c68811de0328b1f0d7c67585c
libcryptsetup12	2:2.7.5-2	amd64	libcryptsetup12_2%3a2.7.5-2_amd64.deb	84f6596296c346c1c8f6bb16b0d4d485215b7a23a23ff21e9c28e35822d45a7b
libcups2t64	2.4.10-3+deb13u2	amd64	libcups2t64_2.4.10-3+deb13u2_amd64.deb	278c57da32afceec1f406869e790b29f40c75b02bb8e512dd903d5a5264df9d2
libcurl3t64-gnutls	8.14.1-2+deb13u5	amd64	libcurl3t64-gnutls_8.14.1-2+deb13u5_amd64.deb	19da93544615a4c9a3d7df473f5bf8ebca99442454622e9b0460168dadf7b8ae
libdatrie1	0.2.13-3+b1	amd64	libdatrie1_0.2.13-3+b1_amd64.deb	339eb88f23d72b8f0b7b1aebcefbab6de600d97b88bc6222dd8aad11d2ca9051
libdav1d7	1.5.1-1	amd64	libdav1d7_1.5.1-1_amd64.deb	8c64de4465a8ae1ca23e1dada1dfc73d7b431540fd5ae18f21430928576d5b05
libdb5.3t64	5.3.28+dfsg2-9	amd64	libdb5.3t64_5.3.28+dfsg2-9_amd64.deb	18d02510ee78b67e4504ba050176797a200ff24214a7cd318082ab60ad7bf3fc
libdbus-1-3	1.16.2-2	amd64	libdbus-1-3_1.16.2-2_amd64.deb	bbcb711daff7e104b5f80f9b05475b6142674bfe65518a36a56e96a91068a3f5
libdconf1	0.40.0-5	amd64	libdconf1_0.40.0-5_amd64.deb	6e7f670e1cf493ae8f60dea52f5a4aef56605d5b06d921113d7c2a2800ff5af1
libdebconfclient0	0.280	amd64	libdebconfclient0_0.280_amd64.deb	25acadc8b394bc86d05df16e70975e523f8f839a7d8d6d5e22c1cafdcef741aa
libdeflate0	1.23-2	amd64	libdeflate0_1.23-2_amd64.deb	5fe37fb79d53f5c91da6ba3ac4c1a8453e1f2b1ff0e0ea45189c5338bbfdbf82
libdevmapper1.02.1	2:1.02.205-2	amd64	libdevmapper1.02.1_2%3a1.02.205-2_amd64.deb	e924e0df8823987f271b7d3a375dc2f8adcd76db66f09d0273043c885edb0af0
libdouble-conversion3	3.3.1-1	amd64	libdouble-conversion3_3.3.1-1_amd64.deb	bd43b8c185a78d108548b30da6a695aabb6644ce0dd266892da2d10cfe471067
libdrm-amdgpu1	2.4.124-2	amd64	libdrm-amdgpu1_2.4.124-2_amd64.deb	c1d97a5e32e2bc68e833b8abeae026b6306198e87ee4396a7ffecd4779caefbf
libdrm-common	2.4.124-2	all	libdrm-common_2.4.124-2_all.deb	9a8a6c65c165e9964f106fb4ac710959b5d33e0790227e3ab6b27c4742d1254a
libdrm-intel1	2.4.124-2	amd64	libdrm-intel1_2.4.124-2_amd64.deb	188ab1fd74c838b3c8055d62107351e16a4bb7a25d39c30bbb9aac30ddd37238
libdrm2	2.4.124-2	amd64	libdrm2_2.4.124-2_amd64.deb	fe2276901c7cd7b8079de63072d37fe1cbeb4eb001a3bc1f1d662ad89aa0890e
libduktape207	2.7.0-2+b2	amd64	libduktape207_2.7.0-2+b2_amd64.deb	2d92606f49cf79e23fb4ea67ab7702d52e016a671d32edc51482c4f1e3bade7c
libdvdnav4	6.1.1-3+b1	amd64	libdvdnav4_6.1.1-3+b1_amd64.deb	8368250b65cc26911fd37acdeeed58e9ce5bd390e941f687abecca9d5cd659f0
libdvdread8t64	6.1.3-2	amd64	libdvdread8t64_6.1.3-2_amd64.deb	f753a23580c00a2166211607a5511a9c25d75c9ebfc34598b6526637de150fec
libedit2	3.1-20250104-1	amd64	libedit2_3.1-20250104-1_amd64.deb	b002ea172b9c1e34a67bc497c523c67bb74c3f0a4e98113cb083990a1f1d3bfe
libefiboot1t64	38-3.1+b1	amd64	libefiboot1t64_38-3.1+b1_amd64.deb	932d5799069e2af3f044cfd615518f0c1539400f1e8e1cdd9eeb407ca213926e
libefivar1t64	38-3.1+b1	amd64	libefivar1t64_38-3.1+b1_amd64.deb	34bfb96ca9422af293aeac800438682112b4019adc5ed25728bc35dff4ad4ca4
libegl-mesa0	25.0.7-2+deb13u1	amd64	libegl-mesa0_25.0.7-2+deb13u1_amd64.deb	0ddebd7e91b048aac812611d6bd008343386cb140b51e5e66df74c6b6263be65
libegl1	1.7.0-1+b2	amd64	libegl1_1.7.0-1+b2_amd64.deb	62e7bc8ccd47a60e55aad17f83d8d474310d782eb8589bbce2ab714c31712406
libelf1t64	0.192-4	amd64	libelf1t64_0.192-4_amd64.deb	94497b7e17b6f574a0605b380d454e20d3f01a9c63b70c2a2263f679d30053e1
libevdev2	1.13.4+dfsg-1	amd64	libevdev2_1.13.4+dfsg-1_amd64.deb	02e85fb9461b85b23f775d5fcf5a31c55d37bec40b63fd98ca5d3a2763714ae7
libexpat1	2.8.3-1~deb13u1	amd64	libexpat1_2.8.3-1~deb13u1_amd64.deb	38abe0e710a07688e9c149d74536e67cfee0364bdb64dd6d644c32a1cfad389f
libext2fs2t64	1.47.2-3+b12	amd64	libext2fs2t64_1.47.2-3+b12_amd64.deb	9f5783fa48239e42260d41846fbc6c8b19c233251063524456096195660eaa09
libfdisk1	2.41.5-0+deb13u1	amd64	libfdisk1_2.41.5-0+deb13u1_amd64.deb	7f96d173cc01787201691f80ca9b335b8c7d6cdcc6fb81011302d4a005ff5089
libffi8	3.4.8-2	amd64	libffi8_3.4.8-2_amd64.deb	0ebdc340de33333639c3c63874cd4b15ac2e83dfa1ef3053b7eefaf4919f4f68
libflac14	1.5.0+ds-2	amd64	libflac14_1.5.0+ds-2_amd64.deb	658b9f77d35638caf75dfaea4f6d5cde196104d5662f0776e23d7cc450bd4cb5
libfontconfig1	2.15.0-2.3	amd64	libfontconfig1_2.15.0-2.3_amd64.deb	7ae91ec59857cc8e375eb2bdd371a4a69daea38f7787d06d474a847867d852b1
libfreetype6	2.13.3+dfsg-1+deb13u1	amd64	libfreetype6_2.13.3+dfsg-1+deb13u1_amd64.deb	e4947f3291528f03d574f2b01d5c5fc45c58c47480f32888a5cdf0f231ab584e
libfribidi0	1.0.16-1	amd64	libfribidi0_1.0.16-1_amd64.deb	f8c35ec8606d0843bd3cf020c6cfa39ddfe717ec58ed826b5855ba9927eb0d55
libfuse3-4	3.17.2-3	amd64	libfuse3-4_3.17.2-3_amd64.deb	92e2d521ff872755a13aa69dba7b24025a7dc0f0f5aa708c9a86cd3565f570da
libgbm1	25.0.7-2+deb13u1	amd64	libgbm1_25.0.7-2+deb13u1_amd64.deb	31fb6d76b9ceaf13848fa617df53f85f62626b4fe7464a93811c720af6d5f2dd
libgcc-s1	14.2.0-19	amd64	libgcc-s1_14.2.0-19_amd64.deb	3c71917b490d1a17aed43196a2787a256ecf060526cdb20216a74bedc061b150
libgcrypt20	1.11.0-7+deb13u1	amd64	libgcrypt20_1.11.0-7+deb13u1_amd64.deb	f0eb41f8cb40896e0822e9ab65611e8383c12b721c76c54764f744abb4a8c247
libgdk-pixbuf-2.0-0	2.42.12+dfsg-4+deb13u1	amd64	libgdk-pixbuf-2.0-0_2.42.12+dfsg-4+deb13u1_amd64.deb	94150fb955b2d3a9a5e054e31c5a4b048bad4a479207e86cde46fbc975c838b4
libgl1	1.7.0-1+b2	amd64	libgl1_1.7.0-1+b2_amd64.deb	87fa2f6e5abaed4ed385fac879c8dd735af719ee2300222d901793c66e041678
libgl1-mesa-dri	25.0.7-2+deb13u1	amd64	libgl1-mesa-dri_25.0.7-2+deb13u1_amd64.deb	722fad9944bdfd29eb6421576331a2697f83bc4b3551d693edb7aefdde6bb198
libglib2.0-0t64	2.84.4-3~deb13u5	amd64	libglib2.0-0t64_2.84.4-3~deb13u5_amd64.deb	e2baf92c57d1db1753e5781a61450d9a01e7833c7bd2dfe87776a6811c11ecc2
libglib2.0-bin	2.84.4-3~deb13u5	amd64	libglib2.0-bin_2.84.4-3~deb13u5_amd64.deb	733e0bbb4aaa7846a23a02cc3f6af71b41cdfcc833538aae0c35eb2c1160c15a
libglib2.0-data	2.84.4-3~deb13u5	all	libglib2.0-data_2.84.4-3~deb13u5_all.deb	11c671d0a21dd99215bc62fc0219a1fcbb1482f36329ab6b85732e09ddff9e1c
libglvnd0	1.7.0-1+b2	amd64	libglvnd0_1.7.0-1+b2_amd64.deb	887f74008166549ce9e100c906aa937e95d6e5ce1c8d86efe8c95fd953359b9c
libglx-mesa0	25.0.7-2+deb13u1	amd64	libglx-mesa0_25.0.7-2+deb13u1_amd64.deb	2e6ab57de9931e890621d3ade04213b06e7142a4ae8a72a1756c44d0271aaeb7
libglx0	1.7.0-1+b2	amd64	libglx0_1.7.0-1+b2_amd64.deb	2721fdca0fe3bd963cb39482eabc253af52b88f4a7f6dbb69e475549daf5af3b
libgme0	0.6.3-7+b2	amd64	libgme0_0.6.3-7+b2_amd64.deb	fbcef23f20099dd7b88a3d9edb79482359b2ab845632acb929313df7d2c5b6b7
libgmp10	2:6.3.0+dfsg-3	amd64	libgmp10_2%3a6.3.0+dfsg-3_amd64.deb	d0d0265eb01770f17afd0f7c8c0622f80479dcfbbe13653a0debeec61464e622
